region_source,tau,moneyness,v,rho,kappa,gamma,bar_v,r,ref_price,ref_delta,ref_gamma,ref_vega,ref_theta,ref_rho
full_grid,0.005,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.1600656993055417,-1.0161001987271994,-4.204172588663798,-0.007757704508077133,0.07490570362747852,-0.005067949331181946
full_grid,0.07150000000000001,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15928546611326488,-0.9999685002540011,0.0042395503130781,6.232063134803054e-05,0.009963325653675643,-0.07144701895235375
full_grid,0.138,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15864919846379155,-0.9977232642961212,0.16752673288627484,0.004389803950086757,0.008841122510872093,-0.1375496701852096
full_grid,0.20450000000000002,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15814662123010137,-0.9889612520085866,0.5690536831565289,0.020522578932172908,0.006108212727416424,-0.20222474791159084
full_grid,0.271,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15784584113077016,-0.9743208504104868,1.0270180785069982,0.04585479782209578,0.0029391621907895477,-0.264570621333882
full_grid,0.3375,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.1577508174291632,-0.9561563249542175,1.4358376224403706,0.07501518461957013,-2.3687547841110684e-05,-0.3243112190068634
full_grid,0.404,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15784031983175884,-0.9363150210098163,1.7652386130658435,0.10426747804324732,-0.0026002220602563426,-0.3815153547419217
full_grid,0.47050000000000003,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15808780386280008,-0.9159819813687087,2.015949844137925,0.13156929265085848,-0.004779201793649277,-0.43639471039398864
full_grid,0.537,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15846798729255018,-0.895872605890984,2.1989021599606,0.15598599367192634,-0.006599050796244628,-0.48920752424140423
full_grid,0.6035,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15895859929346468,-0.8764002466762899,2.3270437987795276,0.17722692909868343,-0.00810850797208703,-0.540213855723684
full_grid,0.67,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.15954058126022408,-0.8577880140637522,2.4123209513084127,0.19535044571723192,-0.009354428813055198,-0.5896552837594307
full_grid,0.7365,0.8400000000000001,0.04,-0.7,2.0,0.3,0.04,0.01,0.16019782201009525,-0.840140307243046,2.4647563248681372,0.21058803745888555,-0.01037836213138388,-0.637746898389418
